knot,newton_converged,newton_termination,newton_iterations,newton_grad_norm,newton_relative_grad_norm,feasible_init_used,min_cone_margin,min_alpha,force_norm,certification_mode,selected_seed_mode,selected_objective,selected_grad_norm,selected_relative_grad_norm,selected_stationarity_passed,selected_min_cone_margin,selected_min_alpha,hessian_llt_success,hessian_eig_min,hessian_eig_max,hessian_condition,newton_decrement,newton_step_norm,action_velocity_mismatch,accepted_node_feasible,accepted_node_grad_norm,accepted_node_relative_grad_norm,accepted_node_stationarity_passed,cold_restart_converged,cold_restart_termination,cold_restart_iterations,cold_restart_grad_norm,cold_restart_relative_grad_norm,cold_restart_feasible_init_used,cold_restart_min_cone_margin,cold_restart_min_alpha,cold_restart_force_norm
0,1,direct,0,8.2510802679841495e-12,7.9358665250574229e-14,0,1.4567973879815382e-07,0.00038334754280165695,294.40652874403503,action_stationarity_plus_shooting_defect_v3,accepted_direct,-51.302273226996725,8.2510802679841495e-12,7.9358665250574229e-14,1,1.4567973879815382e-07,0.00038334754280165695,1,0.011280313254923607,35034.691869730414,3105826.1484394991,4.9892822472922377e-14,5.7181885578889291e-14,0,1,8.2510802679841495e-12,7.9358665250574229e-14,1,1,gradient,15,1.5806325097734895e-11,1.5202480421140711e-13,1,1.4567973879827709e-07,0.00038334754280191369,294.40652874396972
1,1,gradient,38,3.9288689848920092e-12,4.06142435525759e-14,1,1.1192353911519003e-07,0.00034110497137984641,326.7982726241633,action_stationarity_plus_shooting_defect_v3,cold_refined,-47.292936525369186,3.9288689848920092e-12,4.06142435525759e-14,1,1.1192353911519003e-07,0.00034110497137984641,1,0.011311285887546449,43127.487463182522,3812783.7888586321,3.3744327701133477e-14,5.5568541445689556e-14,1.9737773586639684e-10,1,8.3983996535648781e-07,8.6817516772178774e-09,1,1,gradient,38,3.9288689848920092e-12,4.06142435525759e-14,1,1.1192353911519003e-07,0.00034110497137984641,326.7982726241633
2,1,direct,0,1.1054672489239069e-10,1.1873139641122099e-12,0,1.5798280597760773e-08,0.00012655391356267143,830.68444932701107,action_stationarity_plus_shooting_defect_v3,accepted_direct,-50.873946407629781,1.1054672489239069e-10,1.1873139641122099e-12,1,1.5798280597760773e-08,0.00012655391356267143,1,0.011277095198436034,286127.97837271914,25372489.39890131,2.1055052890054412e-13,2.9133904717907122e-14,0,1,1.1054672489239069e-10,1.1873139641122099e-12,1,1,gradient,18,3.7814360290351961e-10,4.0614064379030314e-12,0,1.579828059774462e-08,0.00012655391356261592,830.68444932963109
3,1,direct,0,7.2898729926339934e-09,7.1709147139603087e-11,0,0.00065409709000399663,0.13694014915274472,29.363818955745874,action_stationarity_plus_shooting_defect_v3,accepted_direct,-48.740049306033015,7.2898729926339934e-09,7.1709147139603087e-11,1,0.00065409709000399663,0.13694014915274472,1,0.011283268434134894,564.57137266585482,50036.155388971863,1.7708189155420874e-09,1.1365396585035025e-09,0,1,7.2898729926339934e-09,7.1709147139603087e-11,1,1,gradient,17,9.1249288279736877e-09,8.9760255717233944e-11,1,0.00065409708077609346,0.13694014889790004,29.363819317723909
4,1,gradient,13,2.2262692882237401e-14,2.165488567529466e-16,0,0.006395360451673951,0.24328494199181572,15.611244820999371,action_stationarity_plus_shooting_defect_v3,cold_refined,-48.789052803590749,2.2262692882237401e-14,2.165488567529466e-16,1,0.006395360451673951,0.24328494199181572,1,0.01131073832090773,147.24851936329924,13018.471048093525,6.0955105877990523e-15,2.3382964167896293e-14,7.1673774594111258e-10,1,6.0312750622114469e-09,5.8666115839360824e-11,1,1,gradient,13,2.2262692882237401e-14,2.165488567529466e-16,0,0.006395360451673951,0.24328494199181572,15.611244820999371
5,1,max_iterations,999,1.5777673208030153e-08,1.5152079828856709e-10,0,0.00042176446860696382,0.13698810793389773,51.485820922248486,action_stationarity_plus_shooting_defect_v3,cold_refined,-49.108602143686092,1.5777673208030153e-08,1.5152079828856709e-10,1,0.00042176446860696382,0.13698810793389773,1,0.011309375464664907,1232.4668864000166,108977.44886539003,4.6310963069060236e-10,1.9938796518665879e-10,2.1002165604530679e-09,1,2.1143310961244067e-07,2.0304967109374612e-09,1,0,max_iterations,999,1.5777673208030153e-08,1.5152079828856709e-10,0,0.00042176446860696382,0.13698810793389773,51.485820922248486
6,1,direct,0,9.0138435562640937e-12,8.0527766163282403e-14,0,8.425939061694931e-08,0.00029803629501079509,362.81663224776912,action_stationarity_plus_shooting_defect_v3,accepted_direct,-55.666645443506965,9.0138435562640937e-12,8.0527766163282403e-14,1,8.425939061694931e-08,0.00029803629501079509,1,0.011307932115368144,58076.99875323294,5135952.1936201658,4.1364258007442559e-14,7.6802334443698761e-14,0,1,9.0138435562640937e-12,8.0527766163282403e-14,1,0,max_iterations,999,1.7153093447631867e-08,1.5324209805733118e-10,1,8.4259390616859498e-08,0.0002980362950106008,362.81663226684975
7,1,direct,0,7.7088448185883133e-11,6.2611073731441353e-13,0,3.024601911795364e-08,0.00018131084602768244,622.95070257274847,action_stationarity_plus_shooting_defect_v3,accepted_direct,-67.324974808498439,7.7088448185883133e-11,6.2611073731441353e-13,1,3.024601911795364e-08,0.00018131084602768244,1,0.011289313886703005,175154.37151713812,15515059.043884126,1.8811629873502359e-13,7.3396361139440632e-14,0,1,7.7088448185883133e-11,6.2611073731441353e-13,1,1,gradient,15,2.0480808103138823e-09,1.663446880047525e-11,1,3.0246019109948861e-08,0.00018131084599773417,622.95070261728517
8,1,gradient,7,1.5829190883962075e-12,1.275801661204832e-14,0,0.00068872182258958683,0.037008718099756144,6.5940069068650073,action_stationarity_plus_shooting_defect_v3,cold_refined,-61.320794406255587,1.5829190883962075e-12,1.275801661204832e-14,1,0.00068872182258958683,0.037008718099756144,1,0.011293105941400528,56.644297395711817,5015.8298071085837,3.1835055315949235e-13,3.4330900789032607e-13,5.8998203272087994e-10,1,5.3451391883121288e-09,4.3080770872784915e-11,1,1,gradient,7,1.5829190883962075e-12,1.275801661204832e-14,0,0.00068872182258958683,0.037008718099756144,6.5940069068650073
9,1,gradient,7,2.4671505068742603e-09,2.0059905511988758e-11,0,0.0039193376570720584,0.29446700184266816,10.51846737490637,action_stationarity_plus_shooting_defect_v3,cold_refined,-59.184048032376069,2.4671505068742603e-09,2.0059905511988758e-11,1,0.0039193376570720584,0.29446700184266816,1,0.011297868368205233,110.2613621627808,9759.4836981001936,2.6089579196809916e-10,1.4267044033353541e-10,1.2210592645860853e-09,1,9.8551232561696507e-09,8.0130028864436648e-11,1,1,gradient,7,2.4671505068742603e-09,2.0059905511988758e-11,0,0.0039193376570720584,0.29446700184266816,10.51846737490637
